"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",126193,9,0.8,64.1378366399478,"USGS-34 25uM","USGS-34",25.362267633061,0.267571195096345,-1.69828050573969,0.0653722293659113,-27.81339060215,0.21356942144273,"NO3"
"2",126194,10,0.8,63.6928408245736,"IAEA-NO3 25uM","IAEA-NO3",25.1863012525847,0.26745936723966,4.74957823587101,0.0655403040096149,25.4183018165508,0.213538037675424,"NO3"
"3",126195,11,0.08,64.4839101643299,"USGS-34 250uM","USGS-34",254.991167973907,2.67658673518196,-1.79786072632001,0.0654820133405311,-27.983864863266,0.213640925032498,"NO3"
"4",126196,12,0.08,64.0398830540826,"IAEA-NO3 250uM","IAEA-NO3",253.235334756512,2.67546516272278,4.6631819628275,0.065443413200342,25.913298342624,0.213746336671978,"NO3"
"5",126207,23,0.8,63.1963712441115,"USGS-34 25uM","USGS-34",24.9899804062481,0.267335462343817,-1.75294323365787,0.065432092710587,-27.8408314791415,0.213580896711896,"NO3"
"6",126208,24,0.8,62.6333446503905,"IAEA-NO3 25uM","IAEA-NO3",24.7673406681065,0.267196050234336,4.73180439718254,0.0655201735325435,25.6781090266926,0.21364690617417,"NO3"
"7",126209,25,0.08,62.253619957543,"USGS-34 250uM","USGS-34",246.171846947932,2.67102694215975,-1.93627347045164,0.0656399639657047,-28.1494804303367,0.213710817731197,"NO3"
"8",126210,26,0.08,62.3867514156975,"IAEA-NO3 250uM","IAEA-NO3",246.698293714612,2.67135367118525,4.5952956503886,0.0653689884298048,25.4857657186908,0.213566208302274,"NO3"
