"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","compound"
"1",27069,35,0.32,31.4500631252836,"NSHQ14a","OM17",47.0119502392383,0.693089631494423,7.73503893634538,0.0392419835377886,"NO3+Norg"
"2",27072,38,0.29,29.1343576475147,"NSHQ4a","OM17",64.0741584066017,1.01715791011506,0.933731410676644,0.0392419835377886,"NO3+Norg"
"3",27073,39,0.13,31.7151855123638,"WAB56a","OM17",155.596335657649,2.27543649095289,3.95209830794865,0.0392419835377886,"NO3+Norg"
"4",27075,41,0.98,25.376281937775,"BestCampsite","OM17",16.5149543035924,0.29988604356183,1.89722007182358,0.0392419835377886,"NO3+Norg"
"5",27077,43,0.43,27.0007720257727,"WAB188a","OM17",120.144651603259,2.05353829264748,3.34650057916457,0.0392419835377886,"NO3+Norg"
"6",27079,45,0.93,35.9528368972553,"NSHQ14c","OM17",18.4921301169953,0.239772606806528,4.26141145638444,0.0392419835377886,"NO3+Norg"
"7",27087,53,0.59,29.6782907836046,"NSHQ14b","OM17",24.0615499067691,0.375184650999877,9.50165733900247,0.0392419835377886,"NO3+Norg"
"8",27088,54,0.45,27.9746529364072,"WAB71a","OM17",118.945744617161,1.96416433346037,11.2248926543791,0.0392419835377886,"NO3+Norg"
"9",27089,55,0.43,26.8507627902712,"WAB188a","OM17",119.477159306394,2.0532390047003,3.42254946731659,0.0392419835377886,"NO3+Norg"
"10",27090,56,0.41,28.6934913967692,"WAB105a","OM17",133.904833938552,2.15737079275564,1.94774042852175,0.0392419835377886,"NO3+Norg"
"11",27091,57,0.39,29.9996154918446,"WAB55a","OM17",147.179660666016,2.27112911680165,7.77449514368793,0.0392419835377886,"NO3+Norg"
"12",27094,60,0.32,30.9109823620597,"NSHQ14a","OM17",46.2061255286596,0.692673074938522,7.69182472042157,0.0392419835377886,"NO3+Norg"
"13",27095,61,0.29,29.1584732435428,"NSHQ4a","OM17",64.1271949807617,1.01718358361004,0.901030881733283,0.0392419835377886,"NO3+Norg"
"14",27102,68,0.58,14.6545910303469,"BestCampsite","OM17",16.1146608829131,0.502753073117537,1.96277253025324,0.0392419835377886,"NO3+Norg"
"15",27106,72,0.93,35.9337554876688,"NSHQ14c","OM17",18.4823157062467,0.239766791894728,4.28707624699641,0.0392419835377886,"NO3+Norg"
"16",27109,75,0.59,29.3156707372427,"NSHQ14b","OM17",23.7675572234858,0.375040608144446,9.5578170471719,0.0392419835377886,"NO3+Norg"
"17",27113,79,0.45,28.152245482035,"WAB71a","OM17",119.700852379398,1.96451688485802,11.18581258944,0.0392419835377886,"NO3+Norg"
"18",27118,84,0.13,32.2125312845343,"WAB56a","OM17",158.036339663755,2.27672837828894,3.97258167108533,0.0392419835377886,"NO3+Norg"
"19",27129,95,0.41,28.6981441303868,"WAB105a","OM17",133.926546999323,2.15738113932551,1.92402783130715,0.0392419835377886,"NO3+Norg"
"20",27130,96,0.39,29.8756032422428,"WAB55a","OM17",146.571250174229,2.27082671762799,7.76683189063261,0.0392419835377886,"NO3+Norg"
