"","analysis","run_number","volume","area","pH","name","category","dilution","col_NO3","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",40776,74,0.12,49.0723138571837,8.79,"WAB104 NR","Oman",1.019,168,137.456610270966,3.35756490487864,1.08955778076914,0.0591099163975085,23.495852452274,0.283786665472025,"NO3"
"2",40782,80,2.91,26.0917539063667,11.39,"NSHQ14 NR","Oman",1.018,7,3.01088534802108,0.137498611720853,5.60052402021246,0.0602426634144115,12.6606006353688,0.465835324557124,"NO3"
"3",40783,81,0.14,59.8657771045827,9.62,"WAB55 NR","Oman",1.017,146,143.452359921774,2.88382299082673,7.75151732776488,0.0617427909324273,20.471479082657,0.282737978787408,"NO3"
"4",40784,82,0.25,30.2999347066523,8.71,"BA1A55_66 NR","Oman",2.019,80,80.7186999357927,3.17685367617749,6.06529917735263,0.0605164150335062,26.7733079120541,0.282655378089081,"NO3"
"5",40787,85,0.083,72.3659076931297,8.51,"WAB103 NR","Oman",1.017,245,292.491352029171,4.89155574489415,10.5195998338111,0.0645003146634142,18.1401745629891,0.283450230428657,"NO3"
"6",40788,86,2.91,67.9591365061353,10.69,"BA1A100 NR","Oman",1.018,7,7.8422159393646,0.139364958726457,25.2046992870463,0.090150295011768,34.5856734114036,0.468114820923458,"NO3"
"7",40789,87,0.13,53.1990447628103,8.66,"WAB105 NR","Oman",1.017,155,137.283262148104,3.09768146040622,2.15933766444639,0.0591235541802694,21.9844254875193,0.283247864634269,"NO3"
"8",40796,94,0.13,38.7288869136864,8.16,"WAB188 NR","Oman",1.017,162,99.9421692359543,3.08355902544427,3.23568399275495,0.059298597599947,21.3453978099606,0.283108982012812,"NO3"
