"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","compound"
"1",27057,23,0.33,32.1399879400819,"IAEA-NO3 30 uM","IAEA-NO3",31.0582681450467,0.448409142878595,4.74289482333557,0.0392419835377886,"NO3+Norg"
"2",27058,24,0.33,31.2480771258481,"USGS34 30 uM","USGS34",30.1963759352057,0.447956510027901,-1.9049339621829,0.0392419835377886,"NO3+Norg"
"3",27062,28,0.1,25.8098729930145,"USGS 40 100 uM batch 2","USGS40",82.3059691376839,1.47003168376506,-4.24034533428848,0.0392419835377886,"NO3+Norg"
"4",27063,29,0.88,15.3174528773566,"USGS 65 5 uM batch 2","USGS65",5.55072033222633,0.165740484169174,20.3564015879599,0.0392419835377886,"NO3+Norg"
"5",27064,30,1,30.9389007718063,"USGS 65 10 uM batch 2","USGS65",9.86620977471437,0.147774819017695,20.1649384460545,0.0392419835377886,"NO3+Norg"
"6",27066,32,1,14.8071569165416,"USGS 65 5 uM batch 2","USGS65",4.72190390289626,0.145810436652622,21.0129585003782,0.0392419835377886,"NO3+Norg"
"7",27067,33,1,29.7026335157498,"USGS 65 10 uM batch 2","USGS65",9.47197236544677,0.147576452208585,20.7105734675292,0.0392419835377886,"NO3+Norg"
"8",27070,36,0.33,31.7696263197836,"IAEA-NO3 30 uM","IAEA-NO3",30.7003716039744,0.448219704291231,4.75064732075187,0.0392419835377886,"NO3+Norg"
"9",27071,37,0.33,31.1070023326514,"USGS34 30 uM","USGS34",30.0600492270632,0.447886038488475,-1.94363306439601,0.0392419835377886,"NO3+Norg"
"10",27084,50,0.33,30.6874131213996,"IAEA-NO3 30 uM","IAEA-NO3",29.654581923898,0.447678288026633,4.79457971010354,0.0392419835377886,"NO3+Norg"
"11",27085,51,0.33,30.3728196910825,"USGS34 30 uM","USGS34",29.350576610216,0.447524295270461,-1.94562887456426,0.0392419835377886,"NO3+Norg"
"12",27097,63,0.33,30.8553825908351,"IAEA-NO3 30 uM","IAEA-NO3",29.8168981273649,0.447761126941753,4.68642848465449,0.0392419835377886,"NO3+Norg"
"13",27098,64,0.33,30.3401268252637,"USGS34 30 uM","USGS34",29.3189840721316,0.447508384529793,-1.92208859390008,0.0392419835377886,"NO3+Norg"
"14",27111,77,0.33,31.0422472259334,"IAEA-NO3 30 uM","IAEA-NO3",29.9974735511806,0.447853809092285,4.72936182793117,0.0392419835377886,"NO3+Norg"
"15",27112,78,0.33,31.1094348527364,"USGS34 30 uM","USGS34",30.0623998770139,0.447887260063598,-1.91962893877287,0.0392419835377886,"NO3+Norg"
"16",27114,80,0.8,17.3131814161915,"USGS 40 5 uM batch 2","USGS40",6.90132306976992,0.182532482300305,-4.45594554776868,0.0392419835377886,"NO3+Norg"
"17",27115,81,0.84,24.6747187290181,"USGS 40 10 uM batch 2","USGS40",9.36738543508443,0.174822331661344,-4.52718781305472,0.0392419835377886,"NO3+Norg"
"18",27116,82,0.4,28.0424114685984,"USGS 65 25 uM batch 2","USGS65",22.3563464793625,0.368305986899776,20.9960968091995,0.0392419835377886,"NO3+Norg"
"19",27117,83,0.1,27.7257770594838,"USGS 65 100 uM batch 2","USGS65",88.4156598365986,1.47275551433268,19.7910357001883,0.0392419835377886,"NO3+Norg"
"20",27124,90,0.33,30.7681631725834,"IAEA-NO3 30 uM","IAEA-NO3",29.7326142102532,0.447718054962745,4.71252189336434,0.0392419835377886,"NO3+Norg"
"21",27125,91,0.33,30.2357282610208,"USGS34 30 uM","USGS34",29.2180991991111,0.447457673535443,-1.92482944839993,0.0392419835377886,"NO3+Norg"
"22",27138,104,0.33,30.5449875229165,"IAEA-NO3 30 uM","IAEA-NO3",29.5169498738594,0.447608376491764,4.75155483025667,0.0392419835377886,"NO3+Norg"
"23",27139,105,0.33,30.7522542043511,"USGS34 30 uM","USGS34",29.7172406823542,0.447710219608067,-1.90971322340652,0.0392419835377886,"NO3+Norg"
"24",27151,117,0.33,30.7021066383037,"IAEA-NO3 30 uM","IAEA-NO3",29.6687809083174,0.447685511850271,4.74230367278173,0.0392419835377886,"NO3+Norg"
"25",27152,118,0.33,30.7872739172009,"USGS34 30 uM","USGS34",29.7510817539215,0.447727474603967,-1.93073611054721,0.0392419835377886,"NO3+Norg"
