"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",27375,10,1,6.60198928308068,"USGS 34 2 uM","USGS34",2.06310613438223,0.0706756743294446,-1.6767547154674,0.198636384848318,-28.4080909669297,0.513247814406285,"NO3+NO2"
"2",27376,11,1,6.48936861035969,"IAEA 2 uM","IAEA-NO3",2.02791243884801,0.0706205039722231,5.00065756936587,0.199708483389628,25.4955141609882,0.512787670023306,"NO3+NO2"
"3",27377,12,0.2,6.43421160139089,"USGS 34 10 uM","USGS34",10.0533800159008,0.352969066240709,-1.41164032678102,0.199502406027154,-27.8619714418709,0.516596236415564,"NO3+NO2"
"4",27378,13,0.2,6.24310026664489,"IAEA 10 uM","IAEA-NO3",9.75477080119415,0.352515120971481,4.93696438413198,0.200997950039812,26.1487978375051,0.517064898622328,"NO3+NO2"
"5",27385,20,1,6.47632256752047,"USGS 34 2 uM","USGS34",2.02383558112272,0.0706141712270862,-2.04236277895859,0.199553331483882,-28.3050848183981,0.513167132648525,"NO3+NO2"
"6",27386,21,1,6.4143434818398,"IAEA 2 uM","IAEA-NO3",2.00446726251626,0.0705842524998866,4.7002828155814,0.198935327020848,25.7498031061506,0.512983944612841,"NO3+NO2"
"7",27387,22,0.2,6.05181206655639,"USGS 34 10 uM","USGS34",9.45588523646831,0.352073902009944,-1.84341475635364,0.200504804896667,-27.9797595373179,0.516686419149545,"NO3+NO2"
"8",27388,23,0.2,6.18028226035242,"IAEA 10 uM","IAEA-NO3",9.65661840456441,0.352368769816147,4.74646974560365,0.200512377862713,25.735449274311,0.516744563009926,"NO3+NO2"
"9",27394,29,1,6.58465842288958,"USGS 34 2 uM","USGS34",2.05769028130504,0.0706671261307757,-1.93316906142252,0.199269317670966,-28.3657401430812,0.513214611930793,"NO3+NO2"
"10",27395,30,1,6.55704213680834,"IAEA 2 uM","IAEA-NO3",2.0490602568109,0.0706535453976418,4.64932476937466,0.198810660027189,25.6262731314255,0.512888377579781,"NO3+NO2"
"11",27396,31,0.2,6.200261904309,"USGS 34 10 uM","USGS34",9.68783636345692,0.352415166313448,-1.91080586699925,0.200673453233403,-28.0378730416046,0.516731049233179,"NO3+NO2"
"12",27397,32,0.2,6.37917617284419,"IAEA 10 uM","IAEA-NO3",9.96738780554228,0.352836997922849,4.6744066953634,0.200335507062408,25.3218556769624,0.516428739083576,"NO3+NO2"
"13",27404,39,1,6.62100771677401,"USGS 34 2 uM","USGS34",2.06904935021259,0.0706850802592389,-1.72194224999837,0.198744446866667,-28.2992018415654,0.513162538161127,"NO3+NO2"
"14",27405,40,1,6.63121667977839,"IAEA 2 uM","IAEA-NO3",2.07223962715745,0.0706901401367644,4.76930385998031,0.199107201692534,25.5403841412591,0.512822180901893,"NO3+NO2"
"15",27406,41,0.2,6.07636857343563,"USGS 34 10 uM","USGS34",9.49425448989272,0.352129809838098,-1.72916587212781,0.200226387761257,-27.1842563869685,0.51608478946635,"NO3+NO2"
"16",27415,50,1,6.66486808728239,"USGS 34 2 uM","USGS34",2.08275561291193,0.0707068712750474,-1.57061129172045,0.198388422885339,-27.6971110216306,0.512696898474739,"NO3+NO2"
"17",27417,52,1,6.54624778114623,"IAEA 2 uM","IAEA-NO3",2.04568704603634,0.0706482538956657,4.48796071819565,0.198428387700939,25.6825463268555,0.512931861484791,"NO3+NO2"
"18",27419,54,0.2,6.13039863399165,"IAEA 10 uM","IAEA-NO3",9.57867582458031,0.352253574302982,4.63807891097216,0.20024776606139,24.3300025438778,0.5156905323613,"NO3+NO2"
"19",27430,65,1,6.67139278775909,"USGS 34 2 uM","USGS34",2.08479456647597,0.0707101237271387,-1.9091566492538,0.199208017087798,-27.3701856714527,0.512448267952471,"NO3+NO2"
"20",27431,66,1,6.61792185136264,"IAEA 2 uM","IAEA-NO3",2.06808502452421,0.0706835516829914,4.64646701432322,0.198803722876263,26.4308935963789,0.513518436995251,"NO3+NO2"
"21",27432,67,0.2,6.01455566508787,"USGS 34 10 uM","USGS34",9.39767254699022,0.351989498202544,-2.05097643091714,0.201034698713236,-27.7207251291804,0.516488602504547,"NO3+NO2"
"22",27433,68,0.2,6.21451240280417,"IAEA 10 uM","IAEA-NO3",9.71010259989168,0.352448345418903,4.45008351710768,0.199809030268701,25.6484802042859,0.516677768224449,"NO3+NO2"
"23",27436,71,0.666666667,66.1536535815854,"USGS 34 30 uM","USGS34",30.1605186527779,0.453383160907364,-1.76560717137141,0.0380100685004904,-27.9713120394288,0.236630468373983,"NO3+NO2"
"24",27437,72,0.666666667,66.5267582023126,"IAEA 30 uM","IAEA-NO3",30.3306230727704,0.453486779133864,4.66436642768438,0.038009536645908,25.9426133038356,0.23672646483848,"NO3+NO2"
"25",27438,73,0.08,64.5385579098862,"USGS 34 250 uM","USGS34",245.201420638744,3.77450908028302,-1.80624349797964,0.0380276042552273,-27.7880635295254,0.236570591881954,"NO3+NO2"
"26",27439,74,0.08,65.9604668474802,"IAEA 250 uM","IAEA-NO3",250.603680974399,3.77774775427835,4.69355941149952,0.0380221088132658,25.4211283140546,0.23655531613269,"NO3+NO2"
"27",27447,82,0.666666667,65.8816565551808,"USGS 34 30 uM","USGS34",30.0365108173186,0.453307976886435,-1.81158040524849,0.0380299231936575,-28.1008793357072,0.236673045142791,"NO3+NO2"
"28",27448,83,0.666666667,65.0399400069198,"IAEA 30 uM","IAEA-NO3",29.65275865429,0.453077201947604,4.71193803056574,0.0380300781454919,25.6638162302678,0.236634567820613,"NO3+NO2"
"29",27449,84,0.08,65.326452590656,"USGS 34 250 uM","USGS34",248.194869846398,3.77629526836724,-1.82596242087954,0.0380361897575623,-27.8580062755241,0.236593399706597,"NO3+NO2"
"30",27450,85,0.08,65.640641635576,"IAEA 250 uM","IAEA-NO3",249.3885686624,3.77701337566238,4.77416328989064,0.0380573851780998,25.5231630038739,0.236588548891738,"NO3+NO2"
"31",27457,92,0.666666667,66.5956816360752,"USGS 34 30 uM","USGS34",30.362046378923,0.453505981483281,-1.77899069349858,0.0380158209390255,-28.1446744620567,0.236687476780998,"NO3+NO2"
"32",27458,93,0.666666667,64.7731142213726,"IAEA 30 uM","IAEA-NO3",29.5311084710221,0.45300463756597,4.69337207465756,0.0380220265885709,25.685115431134,0.236641555712797,"NO3+NO2"
"33",27459,94,0.08,65.0157659284428,"USGS 34 250 uM","USGS34",247.014477637223,3.77558846640284,-1.77371760977999,0.0380135514745811,-27.9467380642334,0.236622417100857,"NO3+NO2"
"34",27460,95,0.08,65.9091264949014,"IAEA 250 uM","IAEA-NO3",250.408623511138,3.77762965514448,4.73253891358106,0.038039064962107,25.7149812874618,0.236651362075216,"NO3+NO2"
"35",27467,102,0.666666667,64.0240125271272,"USGS 34 30 uM","USGS34",29.189580915114,0.452802456522616,-1.77016438207399,0.0380120249651391,-28.0326806090267,0.236650609777803,"NO3+NO2"
"36",27468,103,0.666666667,65.2610282623986,"IAEA 30 uM","IAEA-NO3",29.7535563592128,0.453137544184049,4.65055173572232,0.0380036251347579,25.346526956938,0.236531082615891,"NO3+NO2"
"37",27469,104,0.08,65.7420032433861,"USGS 34 250 uM","USGS34",249.773671940784,3.77724578392998,-1.84456145363071,0.0380443340321462,-27.6200717493773,0.236516037284549,"NO3+NO2"
"38",27470,105,0.08,66.7352848969575,"IAEA 250 uM","IAEA-NO3",253.547448121066,3.7795411131357,4.67303332149264,0.0380132580798132,24.9546117437393,0.236404919175114,"NO3+NO2"
