"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",11378,13,4,70.544681797488,"USGS-34 5uM","USGS-34",5.07837095715664,0.2316449979137,-1.8129617847477,0.133022850353063,-27.8961071803609,0.589988219944628,"NO3+NO2"
"2",11379,14,4,71.2808891441306,"IAEA-NO3 5uM","IAEA-NO3",5.13136905584206,0.231763879592509,4.68594003590844,0.128871842187796,26.0374981878224,0.572129870902569,"NO3+NO2"
"3",11381,16,0.67,72.8211138199202,"IAEA-NO3 30uM","IAEA-NO3",31.2969955738609,1.38517241396596,4.90249390469053,0.128269551680867,26.6016379109432,0.568566563866902,"NO3+NO2"
"4",11382,17,0.08,72.3332254157847,"USGS-34 250uM","USGS-34",260.356232269564,11.5967920102419,-1.77988420791327,0.133225614986095,-28.2609329674824,0.591566604934551,"NO3+NO2"
"5",11383,18,0.08,71.9364770701223,"IAEA-NO3 250uM","IAEA-NO3",258.928176160603,11.5935364517141,4.72724700418226,0.133226067536045,26.2414833329289,0.591485386162069,"NO3+NO2"
"6",11394,29,4,70.724673341513,"USGS-34 5uM","USGS-34",5.09132818945849,0.231673955825308,-1.80562326164821,0.133004039697511,-27.743110868441,0.589782738554646,"NO3+NO2"
"7",11395,30,4,71.8094561110751,"IAEA-NO3 5uM","IAEA-NO3",5.16941953768489,0.231849953463564,4.70028123260457,0.128888307899427,25.0526777242259,0.571457774043646,"NO3+NO2"
"8",11397,32,0.67,72.472983184659,"IAEA-NO3 30uM","IAEA-NO3",31.1473762892968,1.38482902343742,4.89389084661746,0.128261302480445,25.5043084885959,0.567778882611847,"NO3+NO2"
"9",11398,33,0.08,66.7585619355896,"USGS-34 250uM","USGS-34",240.290786943002,11.5526106591915,-1.83037204394261,0.132261745166124,-28.1170963406045,0.586733138462053,"NO3+NO2"
"10",11399,34,0.08,65.2733486111483,"IAEA-NO3 250uM","IAEA-NO3",234.944909677812,11.5414103649111,4.64822688514111,0.131467795921985,25.1950368276507,0.583286605579159,"NO3+NO2"
"11",11411,46,4,67.7542079838228,"IAEA-NO3 5uM","IAEA-NO3",4.87749031228104,0.231205074900805,4.61881583025924,0.128799489549896,25.9434384757157,0.572110044098373,"NO3+NO2"
"12",11412,47,0.67,71.3423926628647,"USGS-34 30uM","USGS-34",30.6614720686618,1.38372456986593,-1.75878393762632,0.131623867464204,-27.470013309364,0.583812551428885,"NO3+NO2"
