"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","d18O","d18O_err","compound"
"1",125884,16,0.11,66.4101730093308,"OM16 WDA-16","OM16",191.691646432328,2.25539551674386,0.7510553956043,0.0466105244201419,28.3779002108253,0.217814441164531,"NO3+NO2"
"2",125885,17,0.24,71.2261003670782,"OM16 WDA-17","OM16",94.2299990384582,1.03875682172431,6.0667149808198,0.049232380900769,17.3605166531553,0.212870787309874,"NO3+NO2"
"3",125888,20,0.15,62.1716164889284,"OM16 WAB-105","OM16",131.60190057922,1.64730491448368,1.88148460743652,0.0465713746889432,23.4810279687287,0.214226349781106,"NO3+NO2"
"4",125894,26,0.11,46.8688631290614,"OM16 WAB-104","OM16",135.286043274709,2.21832290188013,1.30545599630779,0.0465499577973625,22.468454076336,0.213803805766584,"NO3+NO2"
"5",125895,27,0.11,59.7239220042031,"OM16 WAB-103","OM16",172.391915599634,2.24134357194632,10.2811253269017,0.0557465578690307,17.1718072758626,0.212517560928638,"NO3+NO2"
"6",125896,28,0.14,62.8333263158817,"OM16 WAB-188","OM16",142.502760271819,1.76605308385972,3.26770333375355,0.0469735445087109,21.5212109654106,0.213447179537148,"NO3+NO2"
"7",125897,29,0.13,61.9447286693558,"OM16 WAB-12","OM16",151.294194585805,1.90033901254085,2.72342821629093,0.0467569600363805,12.2489402417663,0.210695602952014,"NO3+NO2"
"8",125899,31,0.14,62.9672404622094,"OM16 WAB-55","OM16",142.806470684908,1.7662736689933,7.59888609002242,0.0512138359804903,20.4044590420944,0.213032967747102,"NO3+NO2"
"9",125901,33,0.21,64.0455383805051,"OM16 NSHQ-10","OM16",96.8346633593165,1.17871068481704,8.22917304821803,0.0521649069216208,10.511245245684,0.21102202780416,"NO3+NO2"
"10",125902,34,1.3,31.2927054698086,"OM15 NSHQ-4","OM15",7.64295004944892,0.185956440960298,4.86510774324865,0.0480351407450324,22.7336614248548,0.221704675120626,"NO3+NO2"
"11",125910,42,0.8,51.6108633947386,"OM15 WAB-56","OM15",20.4838882782979,0.306101843804143,18.270989574089,0.0747043496467461,24.5813521880416,0.22099810501577,"NO3+NO2"
"12",125911,43,0.19,62.6180429229896,"OM15 NSHQ-3B","OM15",104.642269481742,1.30104164069749,3.03146711570196,0.046870296255744,20.5615101963592,0.213578461630397,"NO3+NO2"
"13",125914,46,0.21,60.6278045326216,"OM15 WAB-188","OM15",91.6671666846023,1.17498912898879,5.47358495544904,0.0486003078953895,21.7659292072639,0.21450736997536,"NO3+NO2"
"14",125915,47,0.11,62.5022645186918,"OM15 WAB-103","OM15",180.411546129439,2.24701222960952,8.81462900009575,0.0531139625699839,16.3894034361025,0.21257890366989,"NO3+NO2"
"15",125928,60,0.11,59.9021568474031,"OM16 WDA-16 NR","OM16",187.001465526382,2.2439628044155,0.966272584657372,0.0271261349955919,29.6237027969202,0.253445446393812,"NO3"
"16",125929,61,0.24,66.2909998264566,"OM16 WDA-17 NR","OM16",94.8502681170104,1.03663961545544,6.12918213725941,0.0285830239305423,18.0746079949737,0.245765501845387,"NO3"
"17",125930,62,0.16,61.2345346050972,"OM16 WAB-105 NR","OM16",131.42309002396,1.54518152055867,1.9785020623141,0.0269092757323137,23.5854585204847,0.247549613497372,"NO3"
"18",125931,63,0.12,48.4484157028301,"OM16 WAB-104 NR","OM16",138.641602367983,2.0315989511223,1.41139434522084,0.027057934400153,22.9121923743107,0.247121023962288,"NO3"
"19",125932,64,0.12,59.3860526551986,"OM16 WAB-103 NR","OM16",169.941109094826,2.05571485773909,11.8022134732204,0.0356252023130912,18.8870204584324,0.245689187311965,"NO3"
"20",125933,65,0.15,64.3233034695033,"OM16 WAB-188 NR","OM16",147.255768565296,1.65447425991847,3.28858290057976,0.0272377782373905,21.8239246048071,0.246557233796235,"NO3"
"21",125934,66,0.14,61.3899103503301,"OM16 WAB-12 NR","OM16",150.578927240328,1.76625291924305,2.71940281125047,0.0271173403182251,12.3807158919042,0.242263025644093,"NO3"
"22",125940,72,0.15,62.1748752364319,"OM16 WAB-55 NR","OM16",142.337357451378,1.65007547783387,7.45742284300545,0.0300965655902237,20.7650620649371,0.245904583361706,"NO3"
"23",125941,73,0.22,42.6501371207993,"OM16 NSHQ-10 NR","OM16",66.5722118053948,1.10220293402361,20.0908428472885,0.049517338515347,24.2677008907495,0.251473815083818,"NO3"
"24",125942,74,0.78,40.3624253394328,"OM15 WAB-56 NR","OM15",17.769609636395,0.310272993394062,20.3867293338107,0.050183386909844,31.2598144639001,0.262734540298981,"NO3"
"25",125943,75,0.21,62.1966574009931,"OM15 NSHQ-3B NR","OM15",101.705159647356,1.17865670256856,3.16606773552059,0.0269682837424607,21.8451947471977,0.24737895242438,"NO3"
"26",125945,77,0.23,61.1125035153288,"OM15 WAB-188 NR","OM15",91.2425626757194,1.07475088444441,5.52377942068131,0.0281445766261849,22.4242530430647,0.248321342719846,"NO3"
"27",125946,78,0.12,64.5229035266953,"OM15 WAB-103 NR","OM15",184.640892887923,2.06861239969881,8.84526011116294,0.031720358227516,16.695605268618,0.245510135660923,"NO3"
