"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","compound"
"1",127022,15,1.25,58.2216351735254,"OM15 WAB-56","OM15",15.9225549933,0.213363378881356,20.9257222027298,0.0731723913001638,"NO3+Norg"
"2",127023,16,0.19,58.6009022499249,"OM15 NSHQ-3B","OM15",105.436036968051,1.40413919656808,2.52539377010793,0.0431906943398013,"NO3+Norg"
"3",127024,17,5,16.2231250035992,"OM15 NSHQ-14A","OM15",1.10918217627821,0.0521673013423491,15.4677482594096,0.131465916059068,"NO3+Norg"
"4",127025,18,5,18.842824976821,"OM15 NSHQ-14B","OM15",1.28829221314531,0.0522021577151673,7.97189360490093,0.126585764314827,"NO3+Norg"
"5",127026,19,0.22,58.9945595170332,"OM15 WAB-188","OM15",91.6700892022964,1.21305603755818,5.69030461634747,0.0446502616168991,"NO3+Norg"
"6",127027,20,0.055,59.6327355143735,"OM15 WAB-103","OM15",370.646936173919,4.8547767317635,9.07663386587136,0.0488762534689326,"NO3+Norg"
"7",127034,27,0.14,58.252750631022,"OM15 WAB-55","OM15",142.241647350342,1.90507820827885,7.55759930576933,0.0466843295087439,"NO3+Norg"
"8",127035,28,0.086,60.3622983703,"OM15 NSHQ-21","OM15",239.94167619496,3.10668573269538,9.26089540350124,0.0489579739677958,"NO3+Norg"
