"","analysis","run_number","volume","area","name","category","conc","conc_err","d15N","d15N_err","compound"
"38",40962,99,0.27,28.8032395091438,"USGS-34 37uM","USGS-34",33.6472450427085,2.95033817382055,-1.57503675212075,0.0425911713867184,"NO3+Norg"
"39",40963,100,0.27,29.5375486222016,"IAEA-NO3 37uM","IAEA-NO3",34.5050471193223,2.95178252419039,4.99376741659569,0.0425911713867184,"NO3+Norg"
"40",40964,101,1.76,30.5345328580171,"USGS-65 5uM","USGS-65",5.47205623412302,0.453139888830179,20.9167451513636,0.0425911713867184,"NO3+Norg"
"41",40965,102,1,33.3887549806757,"USGS-65 10uM","USGS-65",10.5310618772676,0.799183910088809,20.8299033962889,0.0425911713867184,"NO3+Norg"
"42",40966,103,0.2,29.0837749509133,"USGS-65 50uM","USGS-65",45.866195641296,3.98369578726451,20.5703483759155,0.0425911713867184,"NO3+Norg"
"43",40967,104,1.76,30.7947676636431,"USGS-40 5uM","USGS-40",5.518692594898,0.453222358494023,-4.52547346933082,0.0425911713867184,"NO3+Norg"
"44",40968,105,1,35.6854199881818,"USGS-40 10uM","USGS-40",11.2554471177295,0.800622486045132,-5.03901218339083,0.0425911713867184,"NO3+Norg"
"45",40969,106,0.2,28.1654443329559,"USGS-40 50uM","USGS-40",44.4179540750716,3.98130187503825,-4.55527983137379,0.0425911713867184,"NO3+Norg"
"46",40976,113,0.27,29.4173542030712,"USGS-34 37uM","USGS-34",34.3646389172531,2.95154372149251,-1.573315868199,0.0425911713867184,"NO3+Norg"
"47",40977,114,0.27,29.2901742508235,"IAEA-NO3 37uM","IAEA-NO3",34.2160703850073,2.95129198575146,5.07710304686464,0.0425911713867184,"NO3+Norg"
