"","analysis","run_number","volume","area","name","category","dilution","col_NOx","col_NH4","pH","conc","conc_err","d15N","d15N_err","compound"
"1",40956,93,0.15,24.1134503811278,"WAB71","Oman",2.1,3.125,114.42105264,11.22,106.477864616117,11.1205961806163,13.5651631078099,0.0425911713867184,"NO3+Norg"
"2",40957,94,0.13,28.8630968464796,"WAB104","Oman",2.1,168.593,2.210526316,8.79,147.058729105999,12.868521092515,0.998532676161406,0.0425911713867184,"NO3+Norg"
"3",40958,95,0.72,34.4552037431266,"NSHQ14","Oman",2.103,6.882,13.42105263,11.39,31.7419452370936,2.336200288251,4.68924432598823,0.0425911713867184,"NO3+Norg"
"4",40959,96,0.14,32.6428892640629,"WAB55","Oman",2.1,146.072,1.105263158,9.62,154.437154166844,11.9810516115599,7.67862175603497,0.0425911713867184,"NO3+Norg"
"5",40960,97,0.16,28.2072350083119,"BA1A55_66","Oman",2.1,82.009,26.70175439,8.71,116.770131254759,10.4511992311676,-0.837904515486928,0.0425911713867184,"NO3+Norg"
"6",40971,108,0.19,28.431454697067,"CM2A","Oman",2.11,4.978,106.21052632,11.32,99.5863636804851,8.84420382770793,6.91326743002715,0.0425911713867184,"NO3+Norg"
"7",40972,109,0.06591072023,34.4178298830814,"WAB103","Oman",2.1,257.035,4.578947368,8.51,345.874592496613,25.4831941371015,9.97845260849387,0.0425911713867184,"NO3+Norg"
"8",40973,110,0.22,29.5805613805805,"BA1A100","Oman",2.105,7.532,77.12280702,10.69,89.2704595717884,7.62588348956588,-9.35406365758945,0.0425911713867184,"NO3+Norg"
"9",40974,111,0.14,30.5124233167115,"WAB105","Oman",2.123,155.735,4.631578947,8.66,145.938742197341,12.0937287845422,1.98353952926843,0.0425911713867184,"NO3+Norg"
"10",40975,112,0.13,28.6330115206809,"WAB188","Oman",2.1,162.102,3.719298246,8.16,145.886434401178,12.8665750286811,3.02985663382055,0.0425911713867184,"NO3+Norg"
